NIC58	IPR_accession	IPR_description	GO
NIC58.5493	IPR053220	Nematode receptor-like serpentine class H	-
NIC58.5493	IPR019422	7TM GPCR, serpentine receptor class h (Srh)	-
NIC58.5493	IPR019422	7TM GPCR, serpentine receptor class h (Srh)	-
NIC58.16340	IPR050627	Nitroreductase/BluB	GO:0005886(PANTHER)|GO:0006570(PANTHER)|GO:0016491(PANTHER)
NIC58.16340	IPR000415	Nitroreductase-like	GO:0016491(InterPro)
NIC58.16340	IPR000415	Nitroreductase-like	GO:0016491(InterPro)
NIC58.16340	IPR029479	Nitroreductase	-
NIC58.1410	IPR003034	SAP domain	-
NIC58.1410	IPR036361	SAP domain superfamily	-
NIC58.1410	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.1410	IPR052793	Exon junction complex-associated protein	GO:0003723(PANTHER)|GO:0008380(PANTHER)|GO:0061574(PANTHER)|GO:0071011(PANTHER)
NIC58.1410	IPR000504	RNA recognition motif domain	GO:0003723(InterPro)
NIC58.1410	IPR032552	Acin1, RNSP1-SAP18 binding (RSB) motif	-
NIC58.1410	IPR036361	SAP domain superfamily	-
NIC58.1410	IPR034257	Acinus, RNA recognition motif	-
NIC58.1410	IPR012677	Nucleotide-binding alpha-beta plait domain superfamily	-
NIC58.1410	IPR035979	RNA-binding domain superfamily	GO:0003676(InterPro)
NIC58.1410	IPR003034	SAP domain	-
NIC58.1410	IPR003034	SAP domain	-
NIC58.15332	IPR018228	Deoxyribonuclease, TatD-related, conserved site	-
NIC58.15332	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.15332	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.15332	IPR036047	F-box-like domain superfamily	GO:0005515(InterPro)
NIC58.6941	IPR048368	Conserved oligomeric complex COG6, N-terminal	-
NIC58.6941	IPR010490	Conserved oligomeric Golgi complex subunit 6	GO:0006891(InterPro)|GO:0017119(InterPro)
NIC58.6941	IPR010490	Conserved oligomeric Golgi complex subunit 6	GO:0006891(PANTHER)|GO:0006891(InterPro)|GO:0017119(PANTHER)|GO:0017119(InterPro)
NIC58.6941	IPR048369	Conserved Oligomeric Golgi complex subunit 6, C-terminal	-
NIC58.5422	IPR003131	Potassium channel tetramerisation-type BTB domain	GO:0051260(InterPro)
NIC58.5422	IPR003131	Potassium channel tetramerisation-type BTB domain	GO:0051260(InterPro)
NIC58.5422	IPR011333	SKP1/BTB/POZ domain superfamily	-
NIC58.5422	IPR011333	SKP1/BTB/POZ domain superfamily	-
NIC58.5422	IPR011333	SKP1/BTB/POZ domain superfamily	-
NIC58.5422	IPR000210	BTB/POZ domain	GO:0005515(InterPro)
NIC58.5422	IPR000210	BTB/POZ domain	GO:0005515(InterPro)
NIC58.5422	IPR045068	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 1-3	-
NIC58.5422	IPR000210	BTB/POZ domain	GO:0005515(InterPro)
NIC58.5422	IPR000210	BTB/POZ domain	GO:0005515(InterPro)
NIC58.5422	IPR011333	SKP1/BTB/POZ domain superfamily	-
NIC58.18055	IPR000961	AGC-kinase, C-terminal	GO:0004674(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.18055	IPR000961	AGC-kinase, C-terminal	GO:0004674(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.18055	IPR017441	Protein kinase, ATP binding site	GO:0005524(InterPro)
NIC58.18055	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.18055	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.18055	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.18055	IPR008271	Serine/threonine-protein kinase, active site	GO:0004672(InterPro)|GO:0006468(InterPro)
NIC58.18055	IPR011009	Protein kinase-like domain superfamily	-
NIC58.18055	-	-	GO:0004691(PANTHER)|GO:0005829(PANTHER)|GO:0005952(PANTHER)
NIC58.1565	IPR005821	Ion transport domain	GO:0005216(InterPro)|GO:0006811(InterPro)|GO:0016020(InterPro)|GO:0055085(InterPro)
NIC58.1565	IPR018488	Cyclic nucleotide-binding, conserved site	-
NIC58.1565	IPR018488	Cyclic nucleotide-binding, conserved site	-
NIC58.1565	IPR050866	Cyclic nucleotide-gated cation channel	GO:0005221(InterPro)|GO:0005222(PANTHER)|GO:0005223(PANTHER)|GO:0005886(PANTHER)|GO:0017071(PANTHER)|GO:0030553(PANTHER)|GO:0044877(PANTHER)|GO:0098655(PANTHER)
NIC58.1565	IPR000595	Cyclic nucleotide-binding domain	-
NIC58.1565	IPR000595	Cyclic nucleotide-binding domain	-
NIC58.1565	IPR000595	Cyclic nucleotide-binding domain	-
NIC58.1565	IPR014710	RmlC-like jelly roll fold	-
NIC58.1565	IPR018490	Cyclic nucleotide-binding domain superfamily	-
NIC58.1565	IPR000595	Cyclic nucleotide-binding domain	-
NIC58.2014	IPR024483	Glia associated membrane protein glam-1	-
NIC58.2014	IPR024483	Glia associated membrane protein glam-1	-
NIC58.17771	IPR003423	Outer membrane efflux protein	GO:0015562(InterPro)|GO:0055085(InterPro)
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.17771	IPR000533	Tropomyosin	-
NIC58.18452	IPR002486	Nematode cuticle collagen, N-terminal	GO:0042302(InterPro)
NIC58.18452	IPR002486	Nematode cuticle collagen, N-terminal	GO:0042302(InterPro)
NIC58.18452	IPR008160	Collagen triple helix repeat	-
NIC58.18452	IPR008160	Collagen triple helix repeat	-
NIC58.7704	IPR036770	Ankyrin repeat-containing domain superfamily	-
NIC58.7704	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.7704	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.7704	IPR003125	Domain of unknown function WSN	-
NIC58.7704	IPR001357	BRCT domain	-
NIC58.7704	IPR036770	Ankyrin repeat-containing domain superfamily	-
NIC58.7704	IPR003125	Domain of unknown function WSN	-
NIC58.7704	IPR053345	Ankyrin repeat-containing protein	-
NIC58.7704	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.7704	IPR036420	BRCT domain superfamily	-
NIC58.7704	IPR001357	BRCT domain	-
NIC58.7704	IPR003124	WH2 domain	GO:0003779(InterPro)
NIC58.7704	IPR036420	BRCT domain superfamily	-
NIC58.7704	IPR001357	BRCT domain	-
NIC58.7704	IPR002110	Ankyrin repeat	GO:0005515(InterPro)
NIC58.12062	IPR007149	Leo1-like protein	GO:0005634(PANTHER)|GO:0006368(InterPro)|GO:0016593(InterPro)|GO:0032968(PANTHER)|GO:1990269(PANTHER)
NIC58.12062	IPR007149	Leo1-like protein	GO:0006368(InterPro)|GO:0016593(InterPro)
NIC58.9632	IPR036047	F-box-like domain superfamily	GO:0005515(InterPro)
NIC58.9632	IPR036047	F-box-like domain superfamily	GO:0005515(InterPro)
NIC58.9632	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.9632	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.9632	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.9632	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.9632	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.9632	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.9632	IPR002900	Domain of unknown function DUF38/FTH, Caenorhabditis species	-
NIC58.9632	IPR002900	Domain of unknown function DUF38/FTH, Caenorhabditis species	-
NIC58.14546	-	-	GO:0009790(PANTHER)
NIC58.14546	IPR001810	F-box domain	GO:0005515(InterPro)
NIC58.14546	IPR012885	Sdz-33, F-box domain	-
NIC58.16486	IPR011989	Armadillo-like helical	-
NIC58.16486	IPR007205	Protein HGH1 N-terminal	-
NIC58.16486	IPR007206	Protein HGH1 C-terminal	-
NIC58.16486	IPR039717	Protein Hgh1	-
NIC58.16486	IPR016024	Armadillo-type fold	-
NIC58.10521	IPR016186	C-type lectin-like/link domain superfamily	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR035914	Spermadhesin, CUB domain superfamily	-
NIC58.10521	IPR016187	C-type lectin fold	-
NIC58.10521	IPR035914	Spermadhesin, CUB domain superfamily	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR016186	C-type lectin-like/link domain superfamily	-
NIC58.10521	IPR016186	C-type lectin-like/link domain superfamily	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR016187	C-type lectin fold	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR016186	C-type lectin-like/link domain superfamily	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR035914	Spermadhesin, CUB domain superfamily	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR035914	Spermadhesin, CUB domain superfamily	-
NIC58.10521	IPR018378	C-type lectin, conserved site	-
NIC58.10521	IPR016187	C-type lectin fold	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR018378	C-type lectin, conserved site	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR035914	Spermadhesin, CUB domain superfamily	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR016186	C-type lectin-like/link domain superfamily	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR018378	C-type lectin, conserved site	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR001304	C-type lectin-like	-
NIC58.10521	IPR050976	Snake venom C-type lectin-like	-
NIC58.10521	IPR035914	Spermadhesin, CUB domain superfamily	-
NIC58.10521	IPR016187	C-type lectin fold	-
NIC58.10521	IPR016187	C-type lectin fold	-
NIC58.10521	IPR000859	CUB domain	-
NIC58.10521	IPR016186	C-type lectin-like/link domain superfamily	-
NIC58.10521	IPR016187	C-type lectin fold	-
NIC58.5606	IPR013088	Zinc finger, NHR/GATA-type	GO:0006355(InterPro)|GO:0008270(InterPro)
NIC58.5606	IPR000679	Zinc finger, GATA-type	GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.5606	IPR000679	Zinc finger, GATA-type	GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.5606	IPR000679	Zinc finger, GATA-type	GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.5606	IPR000679	Zinc finger, GATA-type	GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.7739	IPR008197	WAP-type 'four-disulfide core' domain	GO:0005576(InterPro)|GO:0030414(InterPro)
NIC58.7739	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7739	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7739	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7739	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7739	IPR008197	WAP-type 'four-disulfide core' domain	GO:0005576(InterPro)|GO:0030414(InterPro)
NIC58.7739	IPR036645	Elafin-like superfamily	-
NIC58.7739	IPR008197	WAP-type 'four-disulfide core' domain	GO:0005576(InterPro)|GO:0030414(InterPro)
NIC58.7739	IPR051388	Serine protease inhibitor and venom toxin	-
NIC58.7739	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.7739	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7739	IPR002223	Pancreatic trypsin inhibitor Kunitz domain	GO:0004867(InterPro)
NIC58.7739	IPR036645	Elafin-like superfamily	-
NIC58.7739	IPR036880	Pancreatic trypsin inhibitor Kunitz domain superfamily	GO:0004867(InterPro)
NIC58.7739	IPR020901	Proteinase inhibitor I2, Kunitz, conserved site	-
NIC58.4388	IPR007305	Vesicle transport protein, Got1/SFT2-like	GO:0016192(InterPro)
NIC58.4388	IPR011691	Vesicle transport protein SFT2	GO:0016020(InterPro)|GO:0016192(InterPro)
NIC58.12816	IPR051997	Serine/threonine-protein kinase NEK	-
NIC58.12816	IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain	GO:0004672(InterPro)|GO:0006468(InterPro)
NIC58.12816	IPR011009	Protein kinase-like domain superfamily	-
NIC58.12816	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.15040	IPR048664	SWI/SNF Subunit INI1, DNA binding domain	-
NIC58.15040	IPR017393	Chromatin-remodeling complex component Sfh1/SNF5	GO:0006338(InterPro)
NIC58.15040	IPR006939	SNF5/SMARCB1/INI1	GO:0000228(InterPro)|GO:0006338(InterPro)
NIC58.15040	IPR048664	SWI/SNF Subunit INI1, DNA binding domain	-
NIC58.19552	IPR036259	MFS transporter superfamily	-
NIC58.19552	IPR020846	Major facilitator superfamily domain	GO:0022857(InterPro)
NIC58.19552	IPR011701	Major facilitator superfamily	GO:0022857(InterPro)|GO:0055085(InterPro)
NIC58.19552	IPR036259	MFS transporter superfamily	-
NIC58.19552	IPR044770	Protein spinster-like	-
NIC58.19552	IPR044770	Protein spinster-like	GO:0005215(PANTHER)|GO:0016020(PANTHER)
NIC58.16352	IPR017970	Homeobox, conserved site	GO:0000981(InterPro)|GO:0006355(InterPro)
NIC58.16352	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.16352	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.16352	IPR009057	Homedomain-like superfamily	-
NIC58.16352	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.16352	IPR050877	EMX/VAX/Noto Homeobox Transcription Factors	GO:0000978(PANTHER)|GO:0000981(PANTHER)|GO:0005634(PANTHER)|GO:0006357(PANTHER)
NIC58.16352	IPR000047	Helix-turn-helix motif	GO:0003677(InterPro)
NIC58.16352	IPR000047	Helix-turn-helix motif	GO:0003677(InterPro)
NIC58.16352	IPR001356	Homeodomain	GO:0003677(InterPro)
NIC58.6662	IPR019428	7TM GPCR, serpentine receptor class r (Str)	-
NIC58.6662	IPR019428	7TM GPCR, serpentine receptor class r (Str)	-
NIC58.6662	-	-	GO:0005886(PANTHER)|GO:0007186(PANTHER)|GO:0038022(PANTHER)|GO:0042048(PANTHER)
NIC58.14538	IPR036034	PDZ superfamily	GO:0005515(InterPro)
NIC58.14538	IPR001478	PDZ domain	GO:0005515(InterPro)
NIC58.14538	IPR001478	PDZ domain	GO:0005515(InterPro)
NIC58.14538	IPR001478	PDZ domain	GO:0005515(InterPro)
NIC58.14538	IPR001478	PDZ domain	GO:0005515(InterPro)
NIC58.14538	IPR036034	PDZ superfamily	GO:0005515(InterPro)
NIC58.14538	IPR036034	PDZ superfamily	GO:0005515(InterPro)
NIC58.14538	IPR036034	PDZ superfamily	GO:0005515(InterPro)
NIC58.14538	IPR052213	Partitioning defective 3 homolog	GO:0000226(PANTHER)|GO:0005912(PANTHER)|GO:0005938(PANTHER)|GO:0007155(PANTHER)|GO:0008104(PANTHER)|GO:0016324(PANTHER)|GO:0030010(PANTHER)|GO:0035091(PANTHER)|GO:0043296(PANTHER)|GO:0045197(PANTHER)|GO:0051660(PANTHER)
NIC58.14538	IPR001478	PDZ domain	GO:0005515(InterPro)
NIC58.14538	IPR001478	PDZ domain	GO:0005515(InterPro)
NIC58.14538	IPR021922	Par3/HAL, N-terminal	-
NIC58.14538	IPR001478	PDZ domain	GO:0005515(InterPro)
NIC58.14538	IPR036034	PDZ superfamily	GO:0005515(InterPro)
NIC58.14538	IPR036034	PDZ superfamily	GO:0005515(InterPro)
NIC58.14538	IPR001478	PDZ domain	GO:0005515(InterPro)
NIC58.4712	IPR002602	Domain of unknown function DB	-
NIC58.1870	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.1870	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.1870	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.1870	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.1870	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.1870	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.1870	IPR002184	7TM GPCR, serpentine receptor class b (Srb)	GO:0004888(InterPro)|GO:0007606(InterPro)|GO:0016020(InterPro)
NIC58.6996	-	-	GO:0009790(PANTHER)
NIC58.6996	IPR012885	Sdz-33, F-box domain	-
NIC58.538	-	-	GO:0004140(PANTHER)|GO:0015937(PANTHER)
NIC58.538	IPR001977	Dephospho-CoA kinase	GO:0004140(InterPro)|GO:0005524(InterPro)|GO:0015937(InterPro)
NIC58.538	IPR001977	Dephospho-CoA kinase	GO:0004140(InterPro)|GO:0005524(InterPro)|GO:0015937(InterPro)
NIC58.538	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.538	IPR004821	Cytidyltransferase-like domain	GO:0003824(InterPro)|GO:0009058(InterPro)
NIC58.538	IPR001977	Dephospho-CoA kinase	GO:0004140(InterPro)|GO:0005524(InterPro)|GO:0015937(InterPro)
NIC58.538	IPR027417	P-loop containing nucleoside triphosphate hydrolase	-
NIC58.538	IPR001977	Dephospho-CoA kinase	GO:0004140(InterPro)|GO:0005524(InterPro)|GO:0015937(InterPro)
NIC58.538	IPR004821	Cytidyltransferase-like domain	GO:0003824(InterPro)|GO:0009058(InterPro)
NIC58.538	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	-
NIC58.1699	IPR008271	Serine/threonine-protein kinase, active site	GO:0004672(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR017441	Protein kinase, ATP binding site	GO:0005524(InterPro)
NIC58.1699	IPR000961	AGC-kinase, C-terminal	GO:0004674(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR011009	Protein kinase-like domain superfamily	-
NIC58.1699	IPR000961	AGC-kinase, C-terminal	GO:0004674(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR016239	Ribosomal protein S6 kinase II	GO:0000287(InterPro)|GO:0004674(InterPro)|GO:0006468(InterPro)|GO:0035556(InterPro)
NIC58.1699	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR041906	Ribosomal S6 kinase, N-terminal catalytic domain	-
NIC58.1699	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR011009	Protein kinase-like domain superfamily	-
NIC58.1699	IPR017892	Protein kinase, C-terminal	GO:0004674(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR017441	Protein kinase, ATP binding site	GO:0005524(InterPro)
NIC58.1699	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.1699	IPR000719	Protein kinase domain	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
NIC58.19318	IPR045888	Endoplasmic reticulum vesicle transporter	GO:0000139(PANTHER)|GO:0005783(PANTHER)|GO:0005789(PANTHER)|GO:0006888(PANTHER)|GO:0006890(PANTHER)|GO:0016020(PANTHER)|GO:0030134(PANTHER)
NIC58.19318	IPR012936	Endoplasmic reticulum vesicle transporter, C-terminal	-
NIC58.19318	IPR039542	Endoplasmic reticulum vesicle transporter, N-terminal	-
NIC58.15859	IPR000413	Integrin alpha chain	GO:0007155(InterPro)|GO:0008305(InterPro)
NIC58.15859	IPR000413	Integrin alpha chain	GO:0007155(InterPro)|GO:0008305(InterPro)
NIC58.15859	IPR000413	Integrin alpha chain	GO:0007155(InterPro)|GO:0008305(InterPro)
NIC58.15859	IPR000413	Integrin alpha chain	GO:0007155(InterPro)|GO:0008305(InterPro)
NIC58.15859	IPR000413	Integrin alpha chain	GO:0007155(InterPro)|GO:0008305(InterPro)
NIC58.15859	IPR000413	Integrin alpha chain	GO:0007155(InterPro)|GO:0008305(InterPro)
NIC58.15859	IPR000413	Integrin alpha chain	GO:0007155(InterPro)|GO:0008305(InterPro)
NIC58.15859	IPR032695	Integrin domain superfamily	-
NIC58.15859	IPR013519	Integrin alpha beta-propellor	-
NIC58.15859	IPR048285	Integrin alpha, second immunoglobulin-like domain	-
NIC58.15859	IPR013519	Integrin alpha beta-propellor	-
NIC58.15859	IPR013519	Integrin alpha beta-propellor	-
NIC58.15859	IPR013519	Integrin alpha beta-propellor	-
NIC58.15859	IPR013519	Integrin alpha beta-propellor	-
NIC58.15859	IPR032695	Integrin domain superfamily	-
NIC58.15859	IPR013519	Integrin alpha beta-propellor	-
NIC58.15859	IPR048286	Integrin alpha, third immunoglobulin-like domain	-
NIC58.15859	IPR013517	FG-GAP repeat	-
NIC58.15859	-	-	GO:0005178(PANTHER)|GO:0007160(PANTHER)|GO:0007229(PANTHER)|GO:0008305(PANTHER)|GO:0009897(PANTHER)|GO:0033627(PANTHER)|GO:0098609(PANTHER)
NIC58.15859	IPR013649	Integrin alpha, first immunoglubulin-like domain	-
NIC58.15859	IPR013519	Integrin alpha beta-propellor	-
NIC58.15859	IPR028994	Integrin alpha, N-terminal	-
NIC58.15859	IPR018184	Integrin alpha chain, C-terminal cytoplasmic region, conserved site	-
NIC58.15859	IPR013519	Integrin alpha beta-propellor	-
NIC58.15859	IPR032695	Integrin domain superfamily	-
NIC58.15859	IPR028994	Integrin alpha, N-terminal	-
NIC58.2859	IPR057979	IFT121-like, TPR repeats	-
NIC58.2859	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.2859	IPR017233	WD repeat protein 35	-
NIC58.2859	IPR056159	IFT121/TULP4, N-terminal	-
NIC58.2859	IPR056170	IFT121-like, zinc finger domain	-
NIC58.2859	IPR056157	IFT80/172/WDR35, TPR domain	-
NIC58.2859	IPR039857	Intraflagellar transport protein 122/121 homolog	GO:0030991(PANTHER)|GO:0035721(PANTHER)|GO:0060271(InterPro)|GO:0061512(PANTHER)|GO:0097730(PANTHER)|GO:1905515(PANTHER)
NIC58.2859	IPR057361	WD repeat-containing protein 35, TPR repeats	-
NIC58.2859	IPR036322	WD40-repeat-containing domain superfamily	GO:0005515(InterPro)
NIC58.2859	IPR056158	IFT121, second beta-propeller domain	-
NIC58.2859	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515(InterPro)
NIC58.2859	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.2859	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.2859	IPR001680	WD40 repeat	GO:0005515(InterPro)
NIC58.2859	IPR015943	WD40/YVTN repeat-like-containing domain superfamily	GO:0005515(InterPro)
NIC58.15854	IPR017452	GPCR, rhodopsin-like, 7TM	GO:0016020(InterPro)
NIC58.15854	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.15854	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.15854	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.15854	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.15854	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.15854	IPR000276	G protein-coupled receptor, rhodopsin-like	GO:0004930(InterPro)|GO:0007186(InterPro)|GO:0016020(InterPro)
NIC58.15854	-	-	GO:0004930(PANTHER)|GO:0005886(PANTHER)|GO:0042277(PANTHER)|GO:0043005(PANTHER)
NIC58.18041	IPR001766	Fork head domain	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.18041	IPR047208	Forkhead box protein G1	GO:0005634(PANTHER)|GO:0006355(InterPro)|GO:0006357(PANTHER)|GO:0043565(InterPro)|GO:1990837(PANTHER)
NIC58.18041	IPR001766	Fork head domain	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.18041	IPR030456	Fork head domain conserved site 2	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.18041	IPR036388	Winged helix-like DNA-binding domain superfamily	-
NIC58.18041	IPR036390	Winged helix DNA-binding domain superfamily	-
NIC58.18041	IPR001766	Fork head domain	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.18041	IPR001766	Fork head domain	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.18041	IPR001766	Fork head domain	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.18041	IPR001766	Fork head domain	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.18041	IPR018122	Fork head domain conserved site1	GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
NIC58.11628	IPR022629	S-adenosylmethionine synthetase, central domain	GO:0004478(InterPro)|GO:0006556(InterPro)
NIC58.11628	IPR022628	S-adenosylmethionine synthetase, N-terminal	GO:0004478(InterPro)|GO:0006556(InterPro)
NIC58.11628	IPR022636	S-adenosylmethionine synthetase superfamily	GO:0004478(InterPro)|GO:0006556(InterPro)
NIC58.11628	IPR022636	S-adenosylmethionine synthetase superfamily	GO:0004478(InterPro)|GO:0006556(InterPro)
NIC58.11628	IPR002133	S-adenosylmethionine synthetase	GO:0004478(InterPro)|GO:0005524(InterPro)|GO:0006556(InterPro)
NIC58.11628	IPR022636	S-adenosylmethionine synthetase superfamily	GO:0004478(InterPro)|GO:0006556(InterPro)
NIC58.11628	IPR002133	S-adenosylmethionine synthetase	GO:0004478(InterPro)|GO:0005524(InterPro)|GO:0006556(InterPro)
